iteration,curr policy return,max return,median return,avg return,avg rollout len,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,240.1380162352207,383.0453253848353,295.4663542822585,288.1459255151463,969.9814814814815,-0.06032470479899765,-0.9128244503821423,0.09523809523809525,0.09523809523809525,0.09523809523809525,-19.743438781266626
1,336.78279419710157,391.7991444348654,266.38966330494833,274.3487914992081,951.8425925925926,-0.22289361003702873,-0.9077771171906693,0.09070294784580499,0.090702947845805,0.09070294784580499,-20.18255025879151
2,356.05438181840964,451.444350130741,287.15165147317714,299.9439121430194,972.1388888888889,-0.15783121737517142,0.9022756463081892,0.08638375985314758,0.0863837598531476,0.08638375985314758,-20.621661736316405
3,406.47002612326304,437.21226542466565,306.83107137562035,313.67642406195887,981.9722222222222,-0.22376160244752188,0.9377640310139748,0.08227024747918817,0.08227024747918817,0.08227024747918817,-21.060773213841294
4,442.2154089082103,420.7604361644157,300.3078992346155,309.9956098001976,995.0,-0.1384779584828249,0.8365166655222377,0.08638375985314758,0.0863837598531476,0.08638375985314758,-20.621661736316405
5,439.735921666899,438.5297208626583,288.017064279186,303.58895987733024,990.5277777777778,-0.1384779584828249,0.8365166655222377,0.09070294784580499,0.090702947845805,0.09070294784580499,-20.18255025879151
6,418.59077576342935,427.7518214996464,278.5117463926872,292.5420148308527,974.4814814814815,-0.1384779584828249,0.8365166655222377,0.08638375985314758,0.0863837598531476,0.08638375985314758,-20.621661736316405
7,391.15407572029835,412.0670323752948,313.6734395760914,314.7970574780057,993.2407407407408,-0.15427380236374633,0.8128231168875701,0.08227024747918817,0.08227024747918817,0.08227024747918817,-21.060773213841294
8,379.913553863206,424.04616456873754,289.8484786131412,299.77683407317784,993.574074074074,-0.10709709380108398,0.874082878142233,0.07835261664684585,0.07835261664684585,0.07835261664684585,-21.499884691366184
9,336.87480056711377,448.3032945787889,291.58823866358546,299.5701380966023,978.8888888888889,-0.043973106528312295,0.8476472089861304,0.07462153966366271,0.07462153966366271,0.07462153966366271,-21.938996168891073
10,432.3687607057365,405.1111236713425,296.4515342133609,308.96356695870145,985.6481481481482,-0.012392022154318262,0.8854617779612961,0.07835261664684583,0.07835261664684583,0.07835261664684583,-21.499884691366187
11,447.6124809211897,422.5968822994241,298.2175438655195,309.76355640759795,983.5462962962963,-0.012392022154318262,0.8854617779612961,0.08227024747918812,0.08227024747918811,0.08227024747918812,-21.060773213841298
12,437.3418960001223,436.89862273741005,283.9485996631369,300.9503592310935,984.2222222222222,-0.012392022154318262,0.8854617779612961,0.08638375985314752,0.08638375985314752,0.08638375985314752,-20.621661736316412
13,439.87302539277385,414.095363542269,301.1546117793639,307.1150275064989,988.1111111111111,-0.012392022154318262,0.8854617779612961,0.0907029478458049,0.0907029478458049,0.0907029478458049,-20.182550258791522
14,377.67129711608186,405.2039721759441,278.1217047194483,284.05831054868065,982.2962962962963,-0.012392022154318262,0.8854617779612961,0.08638375985314752,0.08638375985314752,0.08638375985314752,-20.621661736316412
15,390.1705208165231,408.7262832026366,317.8799763892015,317.8711605762204,998.2037037037037,-0.09299644936810406,0.7351174093592401,0.0822702474791881,0.0822702474791881,0.0822702474791881,-21.0607732138413
16,355.84808579689434,437.4027630359106,303.7023171603241,314.5445808294078,995.2870370370371,-0.15184028555829437,0.8272702828694585,0.07835261664684579,0.07835261664684579,0.07835261664684579,-21.49988469136619
17,290.851616269576,536.9871176620545,303.63219116338297,315.0604416438407,978.7314814814815,-0.11050537354765866,0.9083206111206157,0.07462153966366264,0.07462153966366264,0.07462153966366264,-21.93899616889108
18,453.16690960481054,518.3823164688192,316.10734484735383,338.758671219135,993.5555555555555,0.15404482643724393,0.9340688025785859,0.07106813301301203,0.07106813301301203,0.07106813301301203,-22.37810764641597
19,569.667127443534,562.806861913298,331.4814487009205,373.2458230793871,989.8333333333334,0.17989672136874002,0.7478129898155028,0.07462153966366261,0.0746215396636626,0.07462153966366261,-21.938996168891084
20,587.9008076898916,558.7122011657902,342.18508733929264,361.2116188236303,994.324074074074,0.17989672136874002,0.7478129898155028,0.07835261664684576,0.07835261664684577,0.07835261664684576,-21.499884691366194
21,572.141635392799,594.0900659897924,316.79685433351676,334.24343157210376,997.9074074074074,0.17989672136874002,0.7478129898155028,0.07462153966366261,0.0746215396636626,0.07462153966366261,-21.938996168891084
22,494.1866629564067,572.9108197650893,325.00223375965413,352.7123902165086,1000.0,-0.17259697315832628,0.6556557908415812,0.071068133013012,0.071068133013012,0.071068133013012,-22.378107646415973
23,279.3554734832233,586.6960385569753,383.17002323734107,408.3866401368462,997.8796296296297,0.10474369029270197,0.6602779206336626,0.06768393620286856,0.06768393620286856,0.06768393620286856,-22.817219123940863
24,488.22844638744505,605.8609515755838,431.5533584092592,416.25636842059566,998.4814814814815,0.07237642082973157,0.5890532576612265,0.06446089162177958,0.06446089162177958,0.06446089162177958,-23.256330601465752
25,530.3134045256812,560.0570865968359,394.344016975154,387.77495055248244,993.6296296296297,0.03131141397523263,0.6502225450047239,0.06139132535407577,0.06139132535407578,0.06139132535407577,-23.69544207899064
26,511.6380823345881,629.7983524272983,455.65510924117734,444.93688192211647,997.9722222222222,-0.034704908971111656,-0.6222673921886895,0.058467928908643586,0.05846792890864359,0.058467928908643586,-24.13455355651553
27,628.718735130005,642.8911583368928,368.45132179666575,407.11823262192377,999.4907407407408,-0.10605933334563451,-0.6482114197670351,0.05568374181775579,0.0556837418177558,0.05568374181775579,-24.57366503404042
28,638.2711305037302,642.0146439816091,406.2107377372306,409.6789803918239,1000.0,-0.05744394952822678,-0.70749179150225,0.053032135064529314,0.053032135064529314,0.053032135064529314,-25.01277651156531
29,643.6956763239876,653.8604255073052,450.76440611287717,418.9896207820167,1000.0,-0.03395718188108009,-0.7105127791409156,0.05050679529955172,0.05050679529955172,0.05050679529955172,-25.4518879890902
30,651.2214226215657,649.9708645303275,524.5879874191086,460.33506544109946,1000.0,-0.13383646896387238,-0.7112624034776239,0.053032135064529314,0.053032135064529314,0.053032135064529314,-25.01277651156531
31,648.2079536056236,650.18354667543,382.46492699307703,399.9888320690236,1000.0,-0.13383646896387238,-0.7112624034776239,0.05050679529955172,0.05050679529955172,0.05050679529955172,-25.4518879890902
32,657.2486816246327,647.6991931797078,397.9976818217689,406.4411149815374,1000.0,-0.11008912396054485,-0.6912607565970187,0.053032135064529314,0.053032135064529314,0.053032135064529314,-25.01277651156531
33,654.8044209164826,656.5286094850372,541.8066331215327,452.7511331414614,1000.0,-0.11008912396054485,-0.6912607565970187,0.05050679529955172,0.05050679529955172,0.05050679529955172,-25.4518879890902
34,655.3275749000222,659.5985088187654,595.024691784489,504.3046377144391,1000.0,-0.06486370158407503,-0.7221076875364189,0.048101709809096865,0.048101709809096865,0.048101709809096865,-25.89099946661509
35,430.27467798794714,547.9361257373575,290.1483066550354,317.3343464349275,989.6111111111111,-0.07674056822795465,-0.7068779957056659,0.045811152199139865,0.045811152199139865,0.045811152199139865,-26.330110944139978
36,409.1188552298654,654.9509914352234,401.6973056774211,412.1952615989359,1000.0,-0.12555959278919718,-0.7375841675109066,0.04362966876108558,0.04362966876108559,0.04362966876108558,-26.769222421664868
37,652.2310067592284,657.7075328541717,640.0094868471032,541.3956290422011,1000.0,-0.10313960436569955,0.7306175876411178,0.04155206548674816,0.04155206548674816,0.04155206548674816,-27.208333899189757
38,655.7471829792654,663.0159194384217,557.9275801091314,513.1059978531243,1000.0,-0.10371933583984044,-0.7282666199314634,0.03957339570166491,0.03957339570166491,0.03957339570166491,-27.647445376714646
39,658.6043943802574,659.6184512523117,549.6631497775136,508.95589856572275,1000.0,-0.11857435822484719,0.7041817316634867,0.03768894828729991,0.03768894828729991,0.03768894828729991,-28.086556854239536
40,578.7301751459089,665.4859743429391,531.5798956152133,484.05982419006693,1000.0,-0.11704771485279324,-0.6938146058848534,0.03589423646409515,0.03589423646409515,0.03589423646409515,-28.525668331764425
41,664.8084441122289,668.4925811065399,527.4142819640297,456.99085452986725,1000.0,-0.09990324938200656,-0.6810726132609118,0.03418498710866204,0.03418498710866203,0.03418498710866204,-28.964779809289315
42,669.1040954333554,662.34263998093,530.699241357843,488.1451831920819,998.5648148148148,-0.045739396886515474,-0.6945342187609618,0.03589423646409515,0.03589423646409515,0.03589423646409515,-28.525668331764425
43,661.9400337473376,601.7350355500898,508.7161031027128,464.17283299596926,1000.0,-0.045739396886515474,-0.6945342187609618,0.03768894828729991,0.03768894828729991,0.03768894828729991,-28.086556854239536
44,668.883698377641,667.808673505314,505.18090200349786,477.23930765204904,1000.0,-0.045739396886515474,-0.6945342187609618,0.03957339570166491,0.03957339570166491,0.03957339570166491,-27.647445376714646
45,666.0569377482442,660.7946693156019,554.8408681100477,534.1840245061796,998.0462962962963,-0.045739396886515474,-0.6945342187609618,0.04155206548674816,0.04155206548674816,0.04155206548674816,-27.208333899189757
46,661.3743093118627,663.9717102738177,558.4008129706081,504.72827997358246,1000.0,-0.045739396886515474,-0.6945342187609618,0.03957339570166491,0.03957339570166491,0.03957339570166491,-27.647445376714646
47,659.3452948839403,659.789001223841,636.2296565826041,523.0721874729583,1000.0,-0.10145503454934088,-0.644955466080411,0.03768894828729991,0.03768894828729991,0.03768894828729991,-28.086556854239536
48,623.47101794414,660.029130769209,617.5885111774089,524.0947929926247,1000.0,-0.08460590059064527,-0.6906761568678829,0.03589423646409515,0.03589423646409515,0.03589423646409515,-28.525668331764425
49,661.0114806727057,663.4149295289848,529.3338232168737,491.4906100466546,996.6666666666666,-0.09035166074560039,-0.5914578670838961,0.03418498710866204,0.03418498710866203,0.03418498710866204,-28.964779809289315
